Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
2051,owe,B1,verb,/əʊ/,欠；归功于,owe money;owe someone;owe to,I still owe him twenty pounds from last week.,我上周还欠他二十英镑。,be in debt;be indebted,repay,owe：欠债，或多亏。
2052,governor,B1,noun,/ˈɡʌvənə(r)/,州长；管理者,state governor;school governor;appoint a governor,The state governor announced a new education plan.,州长宣布了新的教育计划。,leader;administrator,,govern → governor：治理者。
2053,uniform,B1,noun; adj.,/ˈjuːnɪfɔːm/,制服；统一的,school uniform;wear a uniform;uniform size,Students must wear school uniform on weekdays.,学生平日须穿校服。,outfit;consistent,varied,uni + form：同一形式。
2054,port,B1,noun,/pɔːt/,港口,sea port;at the port;port city,The ship arrived at the port early this morning.,船今天一早到达港口。,harbour;dock,,port：停靠船只的港口。
2055,pitch,B1,noun; verb,/pɪtʃ/,球场；投掷；音高,football pitch;sales pitch;pitch a tent,The match will be played on the home pitch.,比赛将在主场球场进行。,field;throw,,pitch：场地，或推销话术。
2056,arrival,B1,noun,/əˈraɪvl/,到达,arrival time;on arrival;delay in arrival,Please check the arrival time before you leave home.,出门前请核对到达时间。,coming;appearance,departure,arrive → arrival：抵达。
2057,contemporary,B1,adj.; noun,/kənˈtemprəri/,当代的；同时代的人,contemporary art;contemporary society;her contemporaries,The museum has a large collection of contemporary art.,这家博物馆收藏大量当代艺术作品。,modern;current,traditional;old,con + temporary：同一时代。
2058,gate,B1,noun,/ɡeɪt/,大门；登机口,garden gate;airport gate;open the gate,Passengers should go to gate twelve now.,旅客现在应前往12号登机口。,entrance;doorway,,gate：入口门。
2059,ease,B1,noun; verb,/iːz/,轻松；减轻,with ease;ease the pain;at ease,She passed the driving test with ease.,她轻松通过了驾驶考试。,comfort;relieve,difficulty;worsen,ease：容易或不费力。
2060,beer,B1,noun,/bɪə(r)/,啤酒,a glass of beer;beer bottle;craft beer,He ordered a cold beer after the long walk.,长途步行后他点了一杯冰啤酒。,ale;lager,,beer：啤酒。
2061,specialist,B1,noun,/ˈspeʃəlɪst/,专家；专科医生,medical specialist;IT specialist;see a specialist,You should see a specialist about that knee pain.,膝盖疼你应看专科医生。,expert;consultant,generalist,special → specialist：专精者。
2062,assure,B1,verb,/əˈʃʊə(r)/,向……保证,assure someone;assure that;rest assured,I assure you that the package will arrive tomorrow.,我向你保证包裹明天会到。,reassure;guarantee,worry,assure：使人放心。
2063,profile,B1,noun,/ˈprəʊfaɪl/,简介；侧面,user profile;high profile;keep a low profile,Please update your user profile with a new photo.,请用新照片更新用户简介。,portrait;summary,,profile：人物侧影/概况。
2064,mood,B1,noun,/muːd/,情绪；心情,in a good mood;mood swing;change the mood,She was in a good mood after receiving the news.,收到消息后她心情很好。,temper;feeling,,mood：一时的心境。
2065,episode,B1,noun,/ˈepɪsəʊd/,一集；一段经历,TV episode;final episode;episode of illness,I watched the final episode of the series last night.,我昨晚看了该剧的大结局。,instalment;incident,,episode：系列中的一集。
2066,crack,B1,noun; verb,/kræk/,裂缝；破裂,crack in the wall;crack a joke;crack open,There is a long crack in the kitchen wall.,厨墙壁上有一道长裂缝。,split;break,,crack：裂开的声音或缝。
2067,numerous,B1,adj.,/ˈnjuːmərəs/,众多的,numerous times;numerous examples;numerous studies,She has visited the museum numerous times.,她已多次参观这家博物馆。,many;countless,few,numer → numerous：数量多。
2068,submit,B1,verb,/səbˈmɪt/,提交；屈服,submit an application;submit homework;submit to,Please submit your application before Friday.,请在周五前提交申请。,hand in;yield,withdraw;resist,sub + mit：送交上去。
2069,symptom,B1,noun,/ˈsɪmptəm/,症状,early symptoms;show symptoms;symptom of,Fever is a common symptom of many infections.,发烧是许多感染的常见症状。,sign;indication,,symptom：病症表现。
2070,virtually,B1,adv.,/ˈvɜːtʃuəli/,实际上；几乎,virtually impossible;virtually all;virtually unknown,It is virtually impossible to finish in one hour.,一小时内完成几乎不可能。,almost;practically,,virtual + ly：实际效果上几乎。
2071,era,B1,noun,/ˈɪərə/,时代；纪元,modern era;new era;digital era,We live in the digital era of instant messages.,我们生活在即时通讯的数字时代。,age;period,,era：一段历史时期。
2072,coverage,B1,noun,/ˈkʌvərɪdʒ/,覆盖；报道,news coverage;insurance coverage;full coverage,The story received wide news coverage last week.,上周这则新闻报道很广。,reporting;protection,,cover → coverage：覆盖范围。
2073,tension,B1,noun,/ˈtenʃn/,紧张；张力,political tension;ease the tension;muscle tension,Political tension rose after the close election.,竞选接近后政治紧张加剧。,stress;strain,relaxation,tense → tension：紧绷状态。
2074,cable,B1,noun,/ˈkeɪbl/,电缆；有线电视,power cable;cable TV;undersea cable,Please unplug the power cable before cleaning.,清洁前请拔掉电源线。,wire;cord,,cable：粗电线。
2075,sensitive,B1,adj.,/ˈsensətɪv/,敏感的,sensitive issue;sensitive skin;highly sensitive,Please avoid asking sensitive personal questions.,请避免问敏感的私人问题。,delicate;responsive,insensitive,sense → sensitive：易受影响。
2076,nervous,B1,adj.,/ˈnɜːvəs/,紧张不安的,feel nervous;nervous about;nervous laugh,He felt nervous before the job interview.,求职面试前他很紧张。,anxious;worried,calm;relaxed,nerve → nervous：神经紧绷。
2077,input,B1,noun; verb,/ˈɪnpʊt/,输入；投入,user input;input data;seek input,The team seeks input from teachers and parents.,团队征求教师和家长的意见。,contribution;enter,output,in + put：放进去。
2078,isolate,B1,verb,/ˈaɪsəleɪt/,隔离；使孤立,isolate a patient;feel isolated;isolate from,Doctors may isolate patients with infectious diseases.,医生可能隔离传染病患者。,separate;cut off,include;connect,isolate：隔离开来。
2079,prisoner,B1,noun,/ˈprɪznə(r)/,囚犯,political prisoner;release a prisoner;prisoner of war,The government released several political prisoners.,政府释放了若干政治犯。,inmate;captive,free person,prison → prisoner：服刑者。
2080,eliminate,B1,verb,/ɪˈlɪmɪneɪt/,消除；淘汰,eliminate waste;eliminate risk;eliminate from,New filters help eliminate dust from the air.,新过滤器有助于清除空气中的灰尘。,remove;eradicate,introduce;include,eliminate：除掉。
2081,tight,B1,adj.,/taɪt/,紧的；严格的,tight schedule;hold tight;tight jeans,We are working on a very tight schedule this week.,我们本周日程很紧。,firm;strict,loose,tight：拉紧、不宽松。
2082,wet,B1,adj.,/wet/,湿的,get wet;wet clothes;wet weather,Don't go out in wet clothes or you may catch a cold.,别穿着湿衣服出门，免得感冒。,damp;soaked,dry,wet：有水的。
2083,secondary,B1,adj.,/ˈsekəndri/,次要的；中等的,secondary school;secondary importance;secondary effect,English is taught in every secondary school here.,这里每所中学都教英语。,additional;high-school,primary;main,second → secondary：第二位的。
2084,welfare,B1,noun,/ˈwelfeə(r)/,福利；安康,social welfare;animal welfare;welfare of,The council cares about the welfare of local children.,议会关心当地儿童的福祉。,well-being;benefit,,well + fare：过得好。
2085,recruit,B1,verb; noun,/rɪˈkruːt/,招聘；新成员,recruit staff;recruit volunteers;new recruit,The hospital needs to recruit more nurses this year.,医院今年需要招聘更多护士。,hire;enlist,dismiss;fire,recruit：招募新人。
2086,exclude,B1,verb,/ɪkˈskluːd/,排除；不准进入,exclude from;exclude women;exclude the possibility,Do not exclude quieter students from group work.,不要把安静的学生排除在小组活动外。,leave out;bar,include,ex + clude：关在外面。
2087,string,B1,noun,/strɪŋ/,细绳；一串,piece of string;string of;guitar string,Tie the box with a piece of strong string.,用结实的绳子把箱子捆好。,cord;series,,string：细线或一串。
2088,cloud,B1,noun,/klaʊd/,云；云端,dark cloud;cloud computing;in the clouds,Dark clouds gathered before the heavy rain.,大雨前乌云聚集。,mist;vapour,,cloud：天上的云。
2089,persuade,B1,verb,/pəˈsweɪd/,说服,persuade someone to;persuade into;hard to persuade,Can you persuade him to join our study group?,你能说服他加入我们的学习小组吗？,convince;talk into,dissuade,persuade：使人同意。
2090,inspire,B1,verb,/ɪnˈspaɪə(r)/,激励；启发,inspire someone;inspire confidence;inspire by,Her success continues to inspire young athletes.,她的成功持续激励着年轻运动员。,motivate;encourage,discourage,in + spire：注入气息/灵感。
2091,grand,B1,adj.,/ɡrænd/,宏大的；豪华的,grand plan;grand opening;grand total,The hotel held a grand opening last weekend.,酒店上周末举行了盛大开业典礼。,magnificent;impressive,humble;modest,grand：气派很大。
2092,hence,B1,adv.,/hens/,因此；从此,hence the need;two years hence;hence why,"The road is flooded, hence the long delay.",道路被淹，因此延误很久。,therefore;thus,,hence：由此得出。
2093,crew,B1,noun,/kruː/,全体船员；一组工作人员,cabin crew;film crew;crew member,The cabin crew asked passengers to fasten seat belts.,乘务组请乘客系好安全带。,team;staff,,crew：一起工作的一班人。
2094,phenomenon,B1,noun,/fəˈnɒmɪnən/,现象,natural phenomenon;social phenomenon;strange phenomenon,Northern lights are a rare natural phenomenon.,北极光是罕见的自然现象。,occurrence;event,,phenomenon：可观察的事物（复 phenomena）。
2095,pupil,B1,noun,/ˈpjuːpl/,小学生；瞳孔,primary school pupil;bright pupil;enlarge the pupil,Each pupil must bring a notebook to class.,每个学生上课须带笔记本。,student;schoolchild,,pupil：学童，也指瞳孔。
2096,false,B1,adj.,/fɔːls/,错误的；假的,false information;false teeth;false alarm,The website spread false information about the storm.,该网站传播了关于风暴的虚假信息。,untrue;fake,true;real,false：不真实。
2097,assist,B1,verb,/əˈsɪst/,协助,assist with;assist someone;assist in,Volunteers assist with guiding visitors around the museum.,志愿者协助引导游客参观博物馆。,help;aid,hinder,assist：在旁帮助。
2098,restore,B1,verb,/rɪˈstɔː(r)/,恢复；修复,restore confidence;restore a building;restore to,Workers will restore the old bridge next year.,工人们明年将修复这座旧桥。,repair;reinstate,damage;destroy,re + store：重新放回原状。
2099,formula,B1,noun,/ˈfɔːmjələ/,公式；配方,mathematical formula;secret formula;follow a formula,You can solve the problem with this simple formula.,你可以用这个简单公式解题。,recipe;equation,,formula：固定公式或配方。
2100,alter,B1,verb,/ˈɔːltə(r)/,改变,alter plans;alter slightly;alter the design,We may need to alter our plans if it rains.,如果下雨我们可能得改计划。,change;modify,keep;preserve,alter：做改动。
2101,perceive,B1,verb,/pəˈsiːv/,察觉；认为,perceive as;perceive a change;widely perceive,Many people perceive remote work as more flexible.,许多人认为远程办公更灵活。,see;regard,ignore,perceive：感知到。
2102,routine,B1,noun; adj.,/ruːˈtiːn/,常规；日常的,daily routine;routine check;break the routine,Exercise is part of her morning routine.,锻炼是她晨间日常的一部分。,habit;regular,unusual,routine：例行公事。
2103,sink,B1,verb; noun,/sɪŋk/,下沉；水槽,sink into;kitchen sink;sink slowly,The dirty dishes are still in the kitchen sink.,脏盘子还在厨房水槽里。,drop;basin,float;rise,sink：沉下去，或洗碗池。
2104,stare,B1,verb,/steə(r)/,凝视,stare at;stare into;rude to stare,It is rude to stare at strangers on the bus.,在公交上盯着陌生人看不礼貌。,gaze;gawk,glance,stare：长时间盯着看。
2105,anymore,B1,adv.,/ˌeniˈmɔː(r)/,再也（不）,not anymore;hardly anymore;live here anymore,She does not work here anymore.,她已不在这里工作了。,any longer,,主要用于否定：不再。
2106,hero,B1,noun,/ˈhɪərəʊ/,英雄,national hero;local hero;unsung hero,Firefighters became local heroes after the rescue.,消防员在救援后成为当地英雄。,champion;idol,villain,hero：值得钦佩的人。
2107,supporter,B1,noun,/səˈpɔːtə(r)/,支持者；球迷,strong supporter;football supporter;family supporter,He is a strong supporter of cleaner energy.,他是清洁能源的坚定支持者。,fan;backer,opponent,support → supporter：支持的人。
2108,convert,B1,verb,/kənˈvɜːt/,转换；改造,convert into;convert to;convert energy,They converted the old factory into studios.,他们把旧工厂改造成工作室。,change;transform,,convert：改变用途或形式。
2109,steady,B1,adj.,/ˈstedi/,稳定的,steady growth;steady job;hold steady,The company reported steady growth last year.,公司去年报告了稳定增长。,stable;constant,unsteady;variable,steady：不忽高忽低。
2110,meter,B1,noun,/ˈmiːtə(r)/,计量器；米（美拼）,gas meter;parking meter;electricity meter,Please read the gas meter before you leave.,离开前请抄煤气表读数。,gauge;measure,,lemma 用 meter；英式长度单位常写 metre。
2111,truck,B1,noun,/trʌk/,卡车,delivery truck;truck driver;load a truck,The delivery truck arrived before noon.,送货卡车中午前到了。,lorry;van,,truck 偏美式；英式常说 lorry。
2112,nose,B1,noun,/nəʊz/,鼻子,blow your nose;runny nose;nose of,He wiped his nose with a clean tissue.,他用干净纸巾擦了擦鼻子。,snout,,nose：脸上的鼻子。
2113,beside,B1,prep.,/bɪˈsaɪd/,在……旁边,beside the river;sit beside;beside me,She sat beside her sister during the film.,看电影时她坐在妹妹旁边。,next to;by,far from,be + side：在一侧。
2114,sail,B1,verb; noun,/seɪl/,航行；帆,sail across;set sail;white sail,They will sail across the lake tomorrow morning.,他们明早将驶过湖面。,voyage;navigate,,sail：乘风航行。
2115,disaster,B1,noun,/dɪˈzɑːstə(r)/,灾难,natural disaster;disaster area;prevent a disaster,The flood was the worst natural disaster in decades.,这场洪水是几十年来最严重的自然灾害。,catastrophe;calamity,success,disaster：突发大祸。
2116,pace,B1,noun; verb,/peɪs/,速度；步伐,at a slow pace;keep pace with;change the pace,She walked at a slow pace up the hill.,她慢慢走上山坡。,speed;tempo,,pace：节奏与快慢。
2117,heavily,B1,adv.,/ˈhevɪli/,沉重地；大量地,rain heavily;heavily reliant;breathe heavily,It rained heavily throughout the afternoon.,整个下午雨下得很大。,strongly;greatly,lightly,heavy + ly：程度重。
2118,devote,B1,verb,/dɪˈvəʊt/,把……用于；奉献,devote time to;devote oneself to;fully devote,She decides to devote more time to learning French.,她决定把更多时间用于学法语。,dedicate;commit,neglect,devote：专心投入。
2119,terrorist,B1,noun,/ˈterərɪst/,恐怖分子,terrorist attack;terrorist group;suspected terrorist,Security was increased after the terrorist attack.,恐怖袭击后安保加强了。,extremist,,terror → terrorist：制造恐怖者。
2120,justify,B1,verb,/ˈdʒʌstɪfaɪ/,证明正当；辩解,justify a decision;hard to justify;justify the cost,Can you justify spending so much on advertising?,你能说明花这么多广告费合理吗？,defend;explain,condemn,just → justify：使显得正当。
2121,vital,B1,adj.,/ˈvaɪtl/,至关重要的,vital role;vital information;vital for,Clean water plays a vital role in public health.,清洁水对公共健康至关重要。,essential;crucial,unimportant,vital：关系生死紧要。
2122,fascinate,B1,verb,/ˈfæsɪneɪt/,使着迷,fascinate by;fascinate children;continue to fascinate,Space travel continues to fascinate young students.,太空旅行继续让年轻学生着迷。,captivate;charm,bore,fascinate：强烈吸引。
2123,external,B1,adj.,/ɪkˈstɜːnl/,外部的,external factor;external wall;external review,External factors may affect the exam results.,外部因素可能影响考试成绩。,outside;outer,internal,ex + ternal：在外面。
2124,spare,B1,adj.; verb,/speə(r)/,多余的；抽出,spare time;spare key;spare no effort,Do you have a spare key for the front door?,前门你有备用钥匙吗？,extra;free,necessary,spare：剩余可给出的。
2125,whenever,B1,conj.; adv.,/wenˈevə(r)/,无论何时,whenever possible;whenever you need;come whenever,Call me whenever you need help with maths.,学数学需要帮助时随时打给我。,any time,,when + ever：任何时候。
2126,depression,B1,noun,/dɪˈpreʃn/,抑郁；萧条,economic depression;clinical depression;feel depression,She sought help for clinical depression last year.,她去年因抑郁症寻求帮助。,sadness;slump,happiness;boom,depress → depression：情绪低落/经济萧条。
2127,guilty,B1,adj.,/ˈɡɪlti/,有罪的；内疚的,feel guilty;guilty of;guilty plea,He felt guilty about forgetting her birthday.,忘了她的生日，他感到内疚。,blameworthy;ashamed,innocent,guilt → guilty：有过错感。
2128,underlie,B1,verb,/ˌʌndəˈlaɪ/,构成……的基础,underlie the problem;underlying cause;factors that underlie,Poverty may underlie many social problems.,贫困可能是许多社会问题的深层原因。,form the basis of,,under + lie：躺在下面作基础。
2129,mom,B1,noun,/mɒm/,妈妈（美）,my mom;call Mom;Mom said,My mom packed lunch for me every morning.,妈妈每天早上给我装午饭。,mother;mum,,mom 偏美式；英式常写 mum。
2130,distinction,B1,noun,/dɪˈstɪŋkʃn/,区别；卓越,make a distinction;clear distinction;of distinction,It is important to make a clear distinction between facts and opinions.,分清事实与观点很重要。,difference;honour,similarity,distinct → distinction：差别或殊荣。
2131,satisfaction,B1,noun,/ˌsætɪsˈfækʃn/,满意,customer satisfaction;job satisfaction;with satisfaction,Customer satisfaction rose after the new service started.,新服务上线后顾客满意度上升。,contentment;pleasure,dissatisfaction,satisfy → satisfaction：满足感。
2132,incorporate,B1,verb,/ɪnˈkɔːpəreɪt/,包含；合并,incorporate into;incorporate ideas;incorporate feedback,Please incorporate teacher feedback into your draft.,请把老师的反馈写入你的草稿。,include;integrate,exclude,in + corporate：纳入整体。
2133,pour,B1,verb,/pɔː(r)/,倒；倾泻,pour into;pour rain;pour coffee,Please pour some water into the glass.,请往杯子里倒些水。,tip;stream,,pour：液体往外倒。
2134,sweep,B1,verb,/swiːp/,打扫；席卷,sweep the floor;sweep away;sweep the election,Please sweep the floor before guests arrive.,客人到来前请扫地。,brush;clear,,sweep：扫过或大面积扫除。
2135,obligation,B1,noun,/ˌɒblɪˈɡeɪʃn/,义务；责任,legal obligation;moral obligation;meet an obligation,Parents have a legal obligation to send children to school.,家长有送孩子上学的法定义务。,duty;responsibility,freedom,oblige → obligation：必须做的事。
2136,sir,B1,noun,/sɜː(r)/,先生（尊称）,"Yes, sir;Dear Sir;Excuse me, sir","Excuse me, sir, is this seat free?",打扰一下，先生，这个座位空着吗？,gentleman,,对男士的礼貌称呼。
2137,evaluate,B1,verb,/ɪˈvæljueɪt/,评估,evaluate performance;evaluate a plan;carefully evaluate,Teachers evaluate student performance each term.,教师每学期评估学生表现。,assess;judge,,value → evaluate：估量价值。
2138,anger,B1,noun; verb,/ˈæŋɡə(r)/,愤怒；使生气,feel anger;control anger;express anger,He tried to control his anger during the argument.,争论中他努力控制怒气。,rage;fury,calm,anger：生气的情绪。
2139,pub,B1,noun,/pʌb/,酒吧（英）,local pub;go to the pub;pub lunch,We met friends at the local pub after work.,下班后我们在附近酒吧见了朋友。,bar;tavern,,pub = public house。
2140,perception,B1,noun,/pəˈsepʃn/,感知；看法,public perception;change perception;risk perception,Public perception of the policy is slowly changing.,公众对该政策的看法在慢慢改变。,view;awareness,,perceive → perception：认识方式。
2141,naturally,B1,adv.,/ˈnætʃrəli/,自然地；当然,occur naturally;naturally gifted;speak naturally,Some plants grow naturally without any fertilizer.,有些植物无需肥料就能自然生长。,of course;innately,artificially,natural + ly：自然而然。
2142,currency,B1,noun,/ˈkʌrənsi/,货币,foreign currency;local currency;currency exchange,You can change foreign currency at the airport.,你可以在机场兑换外币。,money;cash,,current → currency：流通货币。
2143,database,B1,noun,/ˈdeɪtəbeɪs/,数据库,customer database;search a database;update the database,Please search the customer database for her email.,请在客户数据库中查找她的邮箱。,data bank;records,,data + base：数据存放处。
2144,initially,B1,adv.,/ɪˈnɪʃəli/,最初,initially planned;initially refuse;initially appear,The project was initially planned for next month.,该项目最初计划在下月进行。,at first;originally,finally,initial + ly：一开始。
2145,territory,B1,noun,/ˈterətri/,领土；领域,national territory;enemy territory;sales territory,The island became part of national territory in 1950.,该岛于1950年成为国家领土。,land;domain,,territory：管辖的地区。
2146,stream,B1,noun; verb,/striːm/,小溪；流,mountain stream;stream of;stream video,Children played beside a clear mountain stream.,孩子们在清澈的山溪边玩耍。,brook;flow,,stream：细水流，或连续传送。
2147,rarely,B1,adv.,/ˈreəli/,很少,rarely see;rarely happen;only rarely,She rarely eats sweets during the week.,她工作日很少吃甜食。,seldom;infrequently,often;frequently,rare + ly：罕见地。
2148,height,B1,noun,/haɪt/,高度；身高,at a height of;height of summer;measure height,The tower stands at a height of eighty metres.,这座塔高八十米。,altitude;stature,depth,high → height：有多高。
2149,apparent,B1,adj.,/əˈpærənt/,明显的；表面上的,become apparent;apparent reason;it is apparent that,It soon became apparent that the plan would fail.,很快就明显看出计划会失败。,obvious;seeming,hidden,appear → apparent：看得出来。
2150,western,B1,adj.,/ˈwestən/,西方的；西部的,western countries;western coast;western culture,Many western countries share similar education systems.,许多西方国家有相似的教育体系。,occidental,eastern,west → western：靠西的。
2151,expansion,B1,noun,/ɪkˈspænʃn/,扩张,rapid expansion;business expansion;urban expansion,Rapid expansion brought both jobs and traffic problems.,快速扩张既带来就业也带来交通问题。,growth;extension,reduction,expand → expansion：扩大。
2152,constantly,B1,adv.,/ˈkɒnstəntli/,不断地,constantly change;constantly check;constantly reminded,Technology is constantly changing the way we learn.,技术不断改变我们的学习方式。,continually;always,occasionally,constant + ly：一直不停。
2153,muscle,B1,noun,/ˈmʌsl/,肌肉,build muscle;muscle pain;leg muscle,Regular exercise helps build muscle strength.,规律锻炼有助于增强肌肉力量。,tissue;brawn,,muscle：身体肌组织。
2154,scare,B1,verb; noun,/skeə(r)/,惊吓；恐慌,scare away;scare someone;give a scare,Loud thunder can scare young children.,响雷会吓到小孩子。,frighten;alarm,calm,scare：突然害怕。
2155,badly,B1,adv.,/ˈbædli/,糟糕地；非常,need badly;behave badly;badly damaged,The roof was badly damaged in the storm.,屋顶在风暴中严重受损。,poorly;severely,well,bad + ly：不好或强烈地。
2156,everyday,B1,adj.,/ˈevrideɪ/,日常的,everyday life;everyday language;everyday use,Mobile phones are part of everyday life now.,手机如今已是日常生活的一部分。,daily;ordinary,special,every + day：天天用的。
2157,boundary,B1,noun,/ˈbaʊndri/,边界,national boundary;cross a boundary;set boundaries,The river forms the boundary between the two towns.,这条河构成两镇的边界。,border;limit,,bound → boundary：界线。
2158,ratio,B1,noun,/ˈreɪʃiəʊ/,比率,student-teacher ratio;high ratio;in a ratio of,The student-teacher ratio in this school is quite low.,这所学校的师生比相当低。,proportion;rate,,ratio：两个量之比。
2159,essay,B1,noun,/ˈeseɪ/,短文；论文,write an essay;essay question;short essay,Students must write a short essay on climate change.,学生须写一篇关于气候变化的短文。,composition;paper,,essay：论述短文。
2160,scream,B1,verb; noun,/skriːm/,尖叫,scream for help;scream loudly;a loud scream,Someone screamed for help near the river.,有人在河边大声呼救。,shriek;yell,whisper,scream：高声喊叫。
2161,withdraw,B1,verb,/wɪðˈdrɔː/,撤回；取款,withdraw money;withdraw from;withdraw support,He went to the bank to withdraw some money.,他去银行取了些钱。,remove;retreat,deposit;advance,with + draw：抽回。
2162,pollution,B1,noun,/pəˈluːʃn/,污染,air pollution;reduce pollution;water pollution,The city is working hard to reduce air pollution.,这座城市正努力减少空气污染。,contamination,,pollute → pollution：污染状态。
2163,disorder,B1,noun,/dɪsˈɔːdə(r)/,紊乱；失调,mental disorder;public disorder;sleep disorder,Lack of sleep can lead to a sleep disorder.,睡眠不足可能导致睡眠障碍。,chaos;illness,order,dis + order：失去正常秩序。
2164,furniture,B1,noun,/ˈfɜːnɪtʃə(r)/,家具,office furniture;piece of furniture;buy furniture,We need new furniture for the living room.,客厅需要新家具。,furnishings,,furniture：桌椅等（不可数）。
2165,symbol,B1,noun,/ˈsɪmbl/,象征；符号,national symbol;symbol of;peace symbol,The dove is a common symbol of peace.,鸽子是常见的和平象征。,sign;emblem,,symbol：代表某意义的标记。
2166,apartment,B1,noun,/əˈpɑːtmənt/,公寓（套房）,rent an apartment;small apartment;apartment block,They rent a small apartment near the university.,他们在大学附近租了一套小公寓。,flat;unit,,apartment 偏美式；英式常说 flat。
2167,demonstration,B1,noun,/ˌdemənˈstreɪʃn/,示威；演示,peaceful demonstration;product demonstration;street demonstration,Thousands joined a peaceful demonstration for climate action.,数千人参加和平示威呼吁气候行动。,protest;display,,demonstrate → demonstration：展示或游行。
2168,analyst,B1,noun,/ˈænəlɪst/,分析师,data analyst;financial analyst;political analyst,A data analyst checked the sales figures carefully.,数据分析师仔细核对了销售数字。,examiner;expert,,analyse → analyst：分析者。
2169,platform,B1,noun,/ˈplætfɔːm/,站台；平台,railway platform;online platform;political platform,Please wait on platform three for the next train.,请在3号站台等候下一班火车。,stage;base,,platform：高出地面的台。
2170,steel,B1,noun,/stiːl/,钢,stainless steel;steel industry;steel bridge,The bridge is made of strong steel.,这座桥由坚固钢材建成。,iron alloy,,steel：钢铁。
2171,cake,B1,noun,/keɪk/,蛋糕,birthday cake;piece of cake;chocolate cake,She baked a chocolate cake for the party.,她为聚会烤了巧克力蛋糕。,pastry,,cake：甜点。
2172,transform,B1,verb,/trænsˈfɔːm/,转变,transform into;transform life;completely transform,Digital tools can transform the way students learn.,数字工具能改变学生的学习方式。,change;convert,,trans + form：改变形态。
2173,wound,B1,noun; verb,/wuːnd/,伤口；伤害,serious wound;wound healing;treat a wound,The nurse cleaned the wound carefully.,护士仔细清理了伤口。,injury;cut,,wound：身体上的伤（动词亦可）。
2174,restriction,B1,noun,/rɪˈstrɪkʃn/,限制,travel restriction;place restrictions;speed restriction,New travel restrictions start next Monday.,新旅行限制下周一生效。,limit;constraint,freedom,restrict → restriction：限制规定。
2175,foundation,B1,noun,/faʊnˈdeɪʃn/,基础；基金会,lay the foundation;solid foundation;charity foundation,Reading lays the foundation for later learning.,阅读为以后的学习打下基础。,basis;base,,found → foundation：地基。
2176,designer,B1,noun,/dɪˈzaɪnə(r)/,设计师,fashion designer;graphic designer;interior designer,She works as a graphic designer in London.,她在伦敦做平面设计师。,creator;stylist,,design → designer：设计的人。
2177,strain,B1,noun; verb,/streɪn/,压力；拉伤,put a strain on;muscle strain;financial strain,Long hours put a strain on family life.,长时间工作给家庭生活带来压力。,stress;tension,relaxation,strain：绷紧后的负担。
2178,innovation,B1,noun,/ˌɪnəˈveɪʃn/,创新,technological innovation;encourage innovation;product innovation,Technological innovation is changing everyday transport.,技术创新正在改变日常出行。,invention;novelty,tradition,innovate → innovation：新事物。
2179,album,B1,noun,/ˈælbəm/,专辑；相册,photo album;music album;release an album,The band released a new music album last month.,乐队上个月发行了新音乐专辑。,record;collection,,album：成套收集物。
2180,singer,B1,noun,/ˈsɪŋə(r)/,歌手,pop singer;lead singer;famous singer,The lead singer asked the crowd to sing along.,主唱请观众一起唱。,vocalist;performer,,sing → singer：唱歌的人。
2181,trail,B1,noun; verb,/treɪl/,小径；跟踪,hiking trail;leave a trail;follow a trail,We followed a hiking trail through the forest.,我们沿着徒步小径穿越森林。,path;track,,trail：留下痕迹的小路。
2182,trap,B1,noun; verb,/træp/,陷阱；使陷入,set a trap;fall into a trap;trap someone,Mice can fall into a trap in the kitchen.,老鼠可能掉进厨房的捕鼠器。,snare;catch,free,trap：困住猎物的装置。
2183,loose,B1,adj.,/luːs/,松的,loose clothes;come loose;loose translation,Wear loose clothes when you exercise.,锻炼时穿宽松衣服。,slack;relaxed,tight,loose：不紧（别写成 lose）。
2184,extension,B1,noun,/ɪkˈstenʃn/,延长；扩展,deadline extension;file extension;extension of,The teacher granted a two-day deadline extension.,老师批准了两天的截止延期。,continuation;addition,reduction,extend → extension：延展部分。
2185,wealth,B1,noun,/welθ/,财富,national wealth;create wealth;wealth of,Oil brought great wealth to the region.,石油给该地区带来巨大财富。,riches;affluence,poverty,wealth：富有。
2186,gradually,B1,adv.,/ˈɡrædʒuəli/,逐渐地,gradually improve;gradually become;change gradually,Her health improved gradually after the operation.,手术后她的健康逐渐好转。,slowly;steadily,suddenly,gradual + ly：一步步。
2187,tank,B1,noun,/tæŋk/,罐；坦克,water tank;fuel tank;army tank,Check the water tank before watering the garden.,浇花前检查水箱。,container;armoured vehicle,,tank：储液容器或装甲车。
2188,evil,B1,adj.; noun,/ˈiːvl/,邪恶的；邪恶,evil plan;force of evil;evil spirit,"In the story, the hero defeats an evil king.",故事中英雄打败了邪恶的国王。,wicked;sinister,good;kind,evil：坏到极点。
2189,remarkable,B1,adj.,/rɪˈmɑːkəbl/,卓越的；引人注目的,remarkable achievement;remarkable progress;truly remarkable,Her recovery after surgery was truly remarkable.,她手术后的康复非常了不起。,extraordinary;notable,ordinary,re + mark：值得标记的。
